BJD	RV	RVerr	RHK	RHKerr	S	Serr	BIS	BISerr	FWHM	FWHMerr	Constrast	Contrasterr
5.727805892889929237e+04	-1.885833333333333073e+01	1.165377902235612689e-01	-4.978899999999999437e+00	7.125852775477316053e-04	1.631916666666666516e-01	1.210587552481117362e-04	-8.976837398286636471e+01	2.330755804471225379e-01	7.785409333333333961e+03	2.330755804471225379e-01	6.006745966666667158e+01	1.821379551523469179e-03
5.727917033929566969e+04	-1.923066666666666791e+01	1.187941986092235641e-01	-4.981466666666666931e+00	7.505553499465134710e-04	1.627656666666666696e-01	1.252858952777827803e-04	-9.069767209842625277e+01	2.375883972184471282e-01	7.782310000000000400e+03	2.375883972184471282e-01	6.009098166666666430e+01	1.858138067477127032e-03
5.728001666444318107e+04	-1.911633333333333340e+01	1.160087040014090992e-01	-4.978899999999999437e+00	6.928203230275508046e-04	1.631873333333333509e-01	1.200888559914421494e-04	-9.124703530914956673e+01	2.320174080028183650e-01	7.782850999999999658e+03	2.320174080028183650e-01	6.008749566666667619e+01	1.814336485294191061e-03
5.728103989555747103e+04	-1.692133333333333312e+01	1.158863354775590548e-01	-4.976733333333332787e+00	6.928203230275508046e-04	1.635623333333333373e-01	1.202816140009214723e-04	-9.063931900820826115e+01	2.317726709551181097e-01	7.784339333333333343e+03	2.317726709551181097e-01	6.008946166666666500e+01	1.812129575589387998e-03
5.728213286927183799e+04	-1.598199999999999932e+01	1.162205368706196590e-01	-4.971900000000000652e+00	6.928203230275508046e-04	1.643850000000000033e-01	1.214363116113865770e-04	-9.218548265984919965e+01	2.324410737412392625e-01	7.785582333333332826e+03	2.324410737412392625e-01	6.008168633333333020e+01	1.816824930848817818e-03
5.728308123180944676e+04	-1.572499999999999964e+01	1.153015721767040591e-01	-4.970833333333333215e+00	6.928203230275508046e-04	1.645623333333333382e-01	1.198967148099655777e-04	-9.078727282074690663e+01	2.306031443534083403e-01	7.786306666666666388e+03	2.306031443534083403e-01	6.006964400000000381e+01	1.801926396998342972e-03
5.729300066994800727e+04	-1.484266666666666801e+01	1.171125574891258153e-01	-4.964233333333332610e+00	6.928203230275508046e-04	1.657056666666666678e-01	1.229756073373902800e-04	-8.636003859391702520e+01	2.342251149782518249e-01	7.791322333333333518e+03	2.342251149782518249e-01	6.002985966666667395e+01	1.827755717257578336e-03
5.729397334592817060e+04	-1.560266666666666602e+01	1.178872024338023655e-01	-4.963333333333333819e+00	6.928203230275508046e-04	1.658683333333333121e-01	1.237457069962429100e-04	-8.690121013588650101e+01	2.357744048676047310e-01	7.788930000000000291e+03	2.357744048676047310e-01	6.004758933333332749e+01	1.840957500098653948e-03
5.729486970217370981e+04	-1.590066666666666784e+01	1.260563202720695053e-01	-4.963799999999999990e+00	7.895146188218008258e-04	1.657850000000000157e-01	1.370295993977619124e-04	-8.718468805383709253e+01	2.521126405441390106e-01	7.788479666666666162e+03	2.521126405441390106e-01	6.007365066666667275e+01	1.969491331874186849e-03
5.730110163255628140e+04	-1.982433333333333181e+01	1.312409953387536354e-01	-4.982000000000000206e+00	8.660254037844385870e-04	1.626766666666666639e-01	1.418375440033028988e-04	-9.063626747480289225e+01	2.624819906775071043e-01	7.783513666666666722e+03	2.624819906775071043e-01	6.010814233333334045e+01	2.052902924307952338e-03
5.730204925855589681e+04	-1.911799999999999855e+01	1.129452652521161643e-01	-4.983166666666666522e+00	6.928203230275508046e-04	1.624806666666666621e-01	1.166247543763043981e-04	-9.004589274724708048e+01	2.258905305042321343e-01	7.783379666666666708e+03	2.258905305042321343e-01	6.007263666666666069e+01	1.765685736842783314e-03
5.730303391827716405e+04	-1.788100000000000023e+01	1.134962773188342711e-01	-4.983966666666667322e+00	6.928203230275508046e-04	1.623433333333333117e-01	1.173948702267503552e-04	-9.029385164903060002e+01	2.269925546376687364e-01	7.781558333333333394e+03	2.269925546376687364e-01	6.007961033333333489e+01	1.774912688347811277e-03
5.730404685430986865e+04	-1.951866666666666461e+01	1.132601915188259922e-01	-4.986333333333333506e+00	6.928203230275508046e-04	1.619490000000000096e-01	1.170099710850888778e-04	-9.038369058019920033e+01	2.265203830376517624e-01	7.782567333333333409e+03	2.265203830376517624e-01	6.007192466666666775e+01	1.770738601558459512e-03
5.730694149808207294e+04	-1.852466666666667194e+01	1.169693251530112138e-01	-4.982033333333333758e+00	7.505553499465134710e-04	1.626683333333333314e-01	1.222079284571086306e-04	-9.125737721273925729e+01	2.339386503060224276e-01	7.779855666666666366e+03	2.339386503060224276e-01	6.011288200000000614e+01	1.830566719939881416e-03
5.730810336733379518e+04	-1.810999999999999943e+01	1.136066877392067909e-01	-4.979199999999999626e+00	6.928203230275508046e-04	1.631466666666666621e-01	1.185514421862696801e-04	-9.085919906695930592e+01	2.272133754784135817e-01	7.781225000000001273e+03	2.272133754784135817e-01	6.009843366666666498e+01	1.777168357428361841e-03
5.732194006780878408e+04	-1.485633333333333361e+01	1.139137092422909947e-01	-4.963833333333333542e+00	6.928203230275508046e-04	1.657786666666666575e-01	1.183577439610757195e-04	-8.425909052262143462e+01	2.278274184845817951e-01	7.784722000000000662e+03	2.278274184845817951e-01	6.005453099999999722e+01	1.779503535828990323e-03
5.732393072052796924e+04	-1.557899999999999885e+01	1.146791866364483131e-01	-4.973433333333333373e+00	6.928203230275508046e-04	1.641203333333333403e-01	1.189350896731303296e-04	-8.624712006520587693e+01	2.293583732728964597e-01	7.782047666666666373e+03	2.293583732728964597e-01	6.008940533333333178e+01	1.793077911907614867e-03
5.732508953205157013e+04	-1.889866666666666717e+01	1.116313612878189060e-01	-4.976799999999999891e+00	6.928203230275508046e-04	1.635479999999999989e-01	1.148927035687355224e-04	-8.906774761799050566e+01	2.232627225756383949e-01	7.782732999999999265e+03	2.232627225756383949e-01	6.008518033333333364e+01	1.745115411161487877e-03
5.732597901262716186e+04	-1.972899999999999920e+01	1.108153913294220166e-01	-4.977500000000000036e+00	6.928203230275508046e-04	1.634263333333333401e-01	1.133534295908156356e-04	-8.938240552109310499e+01	2.216307826588440610e-01	7.783744666666666490e+03	2.216307826588440610e-01	6.008392699999999564e+01	1.732069804342259824e-03
5.732808999521585065e+04	-1.563633333333333297e+01	1.117732412476543091e-01	-4.973800000000000665e+00	6.928203230275508046e-04	1.640583333333333338e-01	1.148927035687355224e-04	-9.062379895775609384e+01	2.235464824953088403e-01	7.784187333333332390e+03	2.235464824953088403e-01	6.008550133333333321e+01	1.746931349673574128e-03
5.732908826949095237e+04	-1.540366666666666617e+01	1.117028472403359118e-01	-4.972633333333333461e+00	6.928203230275508046e-04	1.642560000000000131e-01	1.148927035687355224e-04	-8.925387735028608915e+01	2.234056944806720457e-01	7.785943000000000211e+03	2.234056944806720457e-01	6.007252933333333544e+01	1.745025620198275423e-03
5.732995210694261914e+04	-1.365100000000000158e+01	1.131450638256371738e-01	-4.973500000000000476e+00	6.928203230275508046e-04	1.641086666666666527e-01	1.166257070956294603e-04	-8.852927260461933656e+01	2.262901276512745419e-01	7.785057999999999993e+03	2.262901276512745419e-01	6.007705100000000442e+01	1.767873795218653397e-03
