BJD	Res	err
5.732393824093314470e+04	1.212273153237422463e+00	1.137890008145371196e-01
5.732503690046801057e+04	-9.200933345080350989e-01	1.112249220963068413e-01
5.732602413406591950e+04	-1.437944846552483114e+00	1.107006084648808203e-01
5.732791467010226188e+04	-7.436105257194824958e-02	1.175730089868885359e-01
5.732892672839445731e+04	1.318933712144593429e+00	1.156818830083898714e-01
5.733014761128581449e+04	4.263227417140313946e-02	1.152235017673318707e-01
5.733089984056852700e+04	-1.471447626047144297e-01	1.188721642852076377e-01
5.733196093302501686e+04	-5.318686972456134754e-01	1.123248312937786958e-01
5.733296084970870288e+04	-4.386616373688099202e-01	1.122576998299443934e-01
5.733409681480474683e+04	7.514453403617018523e-01	1.119832792678239070e-01
5.733490896242979943e+04	1.311531298270907087e-01	1.193545096487881874e-01
5.734501944719991297e+04	8.284551411717444580e-01	1.129101929225829609e-01
5.734695019914199656e+04	5.142824267463108612e-01	1.151892195818450676e-01
5.734791556843950821e+04	-6.571267145451482605e-01	1.187494115665605338e-01
5.734997599724294560e+04	2.032026581848640490e-01	1.130993301547511404e-01
5.735117235232754319e+04	1.897468799049661925e-02	1.227052459494473724e-01
5.735307491231716995e+04	-2.742287483619882948e-01	1.161815748858312930e-01
5.735491036255299696e+04	9.661545202203409843e-01	1.236248839769044094e-01
5.736092306400713278e+04	-7.421261159315548639e-01	1.222865931159018982e-01
5.736797031061255257e+04	-3.419055789959557501e-02	1.176256894279884557e-01
5.737199894209040212e+04	7.307736072748358680e-01	1.195043258403353376e-01
5.737910503113822779e+04	-1.417744417503350007e+00	1.199698136682173510e-01
5.737996942719434446e+04	6.473393498151409631e-01	1.209713748537634831e-01
5.738097406124865665e+04	1.187110831687903101e-01	1.205595755730903829e-01
5.738614630625353311e+04	-1.061367646114135255e-01	1.225909733269903018e-01
5.738694872872376436e+04	3.455693819111971266e-02	1.220640536627576739e-01
5.738800573108796380e+04	-4.629444260135926470e-01	1.180982583825722493e-01
5.739108672644887702e+04	-9.295598669969074024e-01	1.187996259921652586e-01
5.739415124080735404e+04	-1.723979136689486324e-01	1.223926228901894425e-01
5.739493107354779204e+04	7.751528054520768762e-01	1.246057368475433219e-01
5.739607887145155837e+04	-1.048717080221852171e+00	1.186530456725765625e-01
5.739706415438615659e+04	-7.043839827993743086e-01	1.182510355725649026e-01
5.739810578269722464e+04	7.098563304778302552e-01	1.187897931274002894e-01
5.739906009629162145e+04	5.707801650398991455e-02	1.176454872991128525e-01
5.740593707657718187e+04	-9.369855738303201065e-02	1.254707147808357959e-01
5.740711138087360450e+04	-6.858565401492242586e-01	1.192864970751797565e-01
5.740817011640279816e+04	-5.167784208955801262e-01	1.235696722268031650e-01
5.741299663055427663e+04	2.200552255334120133e+00	1.195582339701473512e-01
5.741416605086105119e+04	-1.918998448438884452e+00	1.267979164908424050e-01
5.741799256408346992e+04	-4.697481371018952245e-02	1.191594318831334515e-01
5.741904987369654555e+04	4.572360412684197684e-01	1.178133303651747316e-01
5.742413049091137509e+04	3.675037401376144430e-01	1.208573053270014519e-01
5.742800451114343014e+04	-9.322840203185656094e-01	1.253361808335938521e-01
5.742892523945621360e+04	4.246755803353128300e-01	1.334091276017361494e-01
5.743011207076595747e+04	7.945812507216718501e-01	1.205133222365275397e-01
5.743097354154312779e+04	8.129667080298474957e-02	1.194522080954765891e-01
5.743316270496119978e+04	1.985639576684974372e-01	1.212272195983339212e-01
5.743402745144344954e+04	-1.500976601312803638e+00	1.177927436638914888e-01
5.743601480222826649e+04	2.580494647716697898e-01	1.181126750193681185e-01
5.744008916997300548e+04	-1.851523253112112855e-01	1.183066046031159141e-01
